id,agent,type,type_string,fixed_component,per_tenant_component,multi_tenant_rate,discount_after,mandatory,includes_vat,notes,url_source,unknown
129,67,10,Permitted Occupier,60.0,0.0,0.0,0,0,1,,,0
132,67,13,Contract Copy,30.0,0.0,0.0,0,0,1,,,0
699,660,7,Guarantor Check,0.0,100.0,0.0,0,0,1,,,0
700,660,10,Permitted Occupier,0.0,75.0,0.0,0,0,1,,,0
701,660,11,Tenancy Amendment,120.0,0.0,0.0,0,0,1,,,0
725,681,2,Reference Check,0.0,50.0,0.0,0,1,1,,,0
726,681,7,Guarantor Check,0.0,75.0,0.0,0,0,1,,,0
727,681,40,Change of Sharer Reference Check,50.0,0.0,0.0,0,0,1,,,0
751,623,39,Check In,90.0,0.0,0.0,0,1,1,90-120 depending on number of bedrooms.,,0
149,122,12,Ongoing Reference,30.0,0.0,0.0,0,0,1,,,0
156,131,7,Guarantor Check,0.0,240.0,0.0,0,0,1,,,0
157,131,13,Contract Copy,60.0,0.0,0.0,0,0,1,,,0
144,122,49,Late Payment Letter,60.0,0.0,0.0,0,0,1,,,0
164,132,7,Guarantor Check,0.0,72.0,0.0,0,0,,,,0
168,129,2,Reference Check,0.0,78.0,0.0,0,1,1,,,0
167,132,10,Permitted Occupier,0.0,0.0,0.0,0,0,,,,0
136,70,15,Tenancy Agreement,300.0,0.0,0.0,0,1,,,,0
170,129,11,Tenancy Amendment,180.0,0.0,0.0,0,0,1,,,0
173,129,25,Document Copy,30.0,0.0,0.0,0,0,1,,,0
176,114,26,Key Deposit,45.0,0.0,0.0,0,0,,,,0
1246,849,7,Guarantor Check,0.0,50.0,0.0,0,0,,,,0
137,70,7,Guarantor Check,75.0,100.0,0.0,0,0,,,,0
174,114,2,Reference Check,0.0,75.0,0.0,0,1,,,,0
175,114,15,Tenancy Agreement,200.0,0.0,0.0,0,1,,,,0
171,129,178,Late Payment Letter,25.0,0.0,0.0,0,0,1,,,0
2681,2191,6,Inventory Fee,105.0,0.0,0.0,0,1,1,up to 155 depending on the size of the property,,0
1298,793,15,Tenancy Agreement,300.0,0.0,0.0,0,1,1,,,0
152,128,5,Deposit Protection,12.0,0.0,0.0,0,1,1,,,0
191,103,7,Guarantor Check,0.0,25.0,0.0,0,0,0,,,0
1297,793,39,Check In,72.0,0.0,0.0,0,1,1,,,0
133,70,39,Check In,72.0,0.0,0.0,0,1,,Minimum,,0
1660,421,70,Check Out,162.0,0.0,0.0,0,1,1,Payable upfront. For 2-bed. Range £132-228 http://skampi.co.uk/wp-content/uploads/2015/06/Inventory_Fees.pdf,,0
128,67,7,Guarantor Check,0.0,90.0,0.0,0,0,1,,,0
130,67,11,Tenancy Amendment,90.0,0.0,0.0,0,0,1,,,0
131,67,12,Ongoing Reference,30.0,0.0,0.0,0,0,1,,,0
724,681,11,Tenancy Amendment,185.0,0.0,0.0,0,1,1,,,0
1347,968,30,Tenancy Renewal,60.0,0.0,0.0,0,0,1,,,0
1295,793,2,Reference Check,0.0,75.0,0.0,0,1,1,,,0
702,660,30,Tenancy Renewal,180.0,0.0,0.0,0,0,1,,,0
1245,849,92,Admin Fee,0.0,200.0,0.0,0,1,,,,0
145,122,2,Reference Check,0.0,156.0,0.0,0,1,1,,,0
1294,793,92,Admin Fee,0.0,50.0,0.0,0,1,1,,,0
1296,793,7,Guarantor Check,0.0,100.0,0.0,0,0,1,,,0
1378,976,92,Admin Fee,250.0,0.0,0.0,0,1,0,,,0
729,642,92,Admin Fee,180.0,0.0,0.0,0,1,,(Fee information just says '180' - assumed to be per tenancy),,0
728,681,60,Change of Occupancy,90.0,0.0,0.0,0,0,1,,,0
172,129,12,Ongoing Reference,0.0,30.0,0.0,0,0,1,,,0
139,70,12,Ongoing Reference,0.0,24.0,0.0,0,0,,,,0
141,70,143,Pet License,75.0,0.0,0.0,0,0,,,,0
921,593,92,Admin Fee,0.0,250.0,50.0,1,1,0,,,0
153,128,7,Guarantor Check,0.0,120.0,0.0,0,0,1,,,0
757,675,92,Admin Fee,0.0,100.0,0.0,0,1,1,,,0
419,914,92,Admin Fee,0.0,150.0,0.0,0,1,1,"£120 for ""existing properties"" i.e. not new instructions",,0
154,128,28,Copy of Inventory Report,78.0,0.0,0.0,0,0,1,,,0
203,137,7,Guarantor Check,0.0,37.2,0.0,0,0,1,,,0
