id,name,show_as_chart,exclude_from_stats,check_mandatory,notes,deleted
5,Deposit Protection,0,0,0,,0
6,Inventory Report,0,0,0,,0
7,Guarantor Check,0,0,0,,0
8,Misc,0,0,0,,0
10,Permitted Occupier,0,0,0,,0
11,Tenancy Amendment,0,0,0,,0
13,Contract Copy,0,0,0,,0
25,Document Copy,0,0,0,,0
26,Key Deposit,0,0,0,,0
27,Reservation Fee,0,0,0,,0
28,Copy of Inventory Report,0,0,0,,0
36,Company Reference,0,0,0,,0
40,Change of Sharer Reference Check,0,0,0,,0
42,Professional Cleaning,0,0,0,,0
44,Early Termination,0,0,0,,0
45,Breach of Tenancy,0,0,0,,0
46,Failed Rent Payments,0,0,0,,0
68,Landlord references,0,0,0,,1
77,Tenancy Renewal,0,0,0,,1
47,Other,0,0,0,,0
33,Change of tenancy,0,0,0,,1
39,Check In,0,0,0,,0
17,Change of Tenant,0,0,0,,1
111,Credit Card fee,0,0,0,,0
50,,0,0,0,,0
51,ID Verification,0,0,0,,0
52,Inventory Amendments,0,0,0,,0
55,Charge for Missing Items,0,0,0,,0
56,Charge for repair of tenant danage,0,0,0,,0
57,Repositioning furniture at EOT,0,0,0,,0
58,Inventory Report Furnished,0,0,0,,0
59,Inventory Report Unfurnished,0,0,0,,0
60,Change of Occupancy,0,0,0,,0
65,Security Deposit,0,0,0,,0
66,Abortive appointment,0,0,0,,0
67,Credit Check at Renewal,0,0,0,,0
71,Reminder Letter,0,0,0,,0
73,Rent in Advance Administration,0,0,0,,0
76,Pet Deposit,0,0,0,,0
79,Eviction Fees,0,0,0,,0
80,Non registration of Utility Services,0,0,0,,0
81,No Fees,0,0,0,,0
82,Preparation of tenancy agreement alterations and additions,0,0,0,,0
83,Inventory Report Alterations,0,0,0,,0
86,Tenancy Addition or Replacement ,0,0,0,,0
87,End of Tenancy Missing or Damaged Items,0,0,0,,0
88,End of Tenancy Damage Costs & Cleaning,0,0,0,,0
89,End of Tenancy Property Refreshment,0,0,0,,0
90,Stamp Duty Land Tax,0,0,0,,0
91,Arrangement Fee,0,0,0,,0
93,Change of Sharer Tenancy Agreement,0,0,0,,0
94,Addendum (Contract Changes),0,0,0,,0
32,Check Out,0,0,0,,1
